channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,zmckv8KRzdU,https://www.youtube.com/watch?v=zmckv8KRzdU,#ConversandoGiladas - Episodio 6: esto no es una peña,2025-07-11T11:59:37Z,6460.0,197,17,0,"🎙️ Conversando Giladas con el Gera y el Agus. Jueves de 19 a 20:30.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w 

🎤 CONDUCE | / https://www.instagram.com/gera.ogb/
🎤 CONDUCE | / https://www.instagram.com/salamoneagustin/
⚙️ PRODUCE | / https://www.instagram.com/amintanieva/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍ A CONVERSANDO GILADAS Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/desdeelfondoo/
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728
TIKTOK | / https://www.tiktok.com/@desdeelfondoo
X | https://x.com/CascoteTV
PLAYLIST MENDUCA | https://open.spotify.com/playlist/33V2AR1n0oBMUQQjMW719O?si=510ea07642e7423b 

#stream #podcast #mendoza #cascotetv",No,,"https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w, https://www.instagram.com/gera.ogb/, https://www.instagram.com/salamoneagustin/, https://www.instagram.com/amintanieva/, https://www.instagram.com/agusgorez/, https://www.instagram.com/desdeelfondoo/, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728, https://www.tiktok.com/@desdeelfondoo, https://x.com/CascoteTV, https://open.spotify.com/playlist/33V2AR1n0oBMUQQjMW719O?si=510ea07642e7423b",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,JIUXStMRBzo,https://www.youtube.com/watch?v=JIUXStMRBzo,#FRESKO - Quinto encuentro,2025-07-17T12:56:51Z,8064.0,191,16,0,"🎙️ Fresko con el Gonza, la Carli, el Fran y la Male. Miércoles de 19 a 21.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w 

🎤 CONDUCE | / https://www.instagram.com/gonza_osman/
🎤 CONDUCE | / https://www.instagram.com/venusentauroo_/
🎤 CONDUCE | / https://www.instagram.com/_maleml/
🎤 CONDUCE | / https://www.instagram.com/soyfrancofacchini/
⚙️ PRODUCE | / https://www.instagram.com/g.gonziii/
⚙️ PRODUCE | / https://www.instagram.com/soleaguero__/ 
🕹️ OPERA | / https://www.instagram.com/izhs89/
🤳🏻 REDES | / https://www.instagram.com/aluhe.ik/ 

📲 SEGUÍ A FRESKO Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/fresko.stream/ 
INSTAGRAM | / https://www.instagram.com/cascotetv/ 
PLAYLIST FRESKA | https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b",No,,"https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w, https://www.instagram.com/gonza_osman/, https://www.instagram.com/venusentauroo_/, https://www.instagram.com/_maleml/, https://www.instagram.com/soyfrancofacchini/, https://www.instagram.com/g.gonziii/, https://www.instagram.com/soleaguero__/, https://www.instagram.com/izhs89/, https://www.instagram.com/aluhe.ik/, https://www.instagram.com/fresko.stream/, https://www.instagram.com/cascotetv/, https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,H3MF66AKkYs,https://www.youtube.com/watch?v=H3MF66AKkYs,#MañanasCachondas - 25/6,2025-06-26T15:04:56Z,7087.0,32,3,0,"🎙️ Mañanas cachondas con la Mili, el Santi y la Ana. Miércoles de 15:30 a 17:30.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/ ⁨@mananacachonda⁩  

🎤 CONDUCE | / https://www.instagram.com/mili.canda/
🎤 CONDUCE | / https://www.instagram.com/galgueando/
🎤 CONDUCE | / https://www.instagram.com/muzzarelas/
⚙️ PRODUCE | / https://www.instagram.com/cuqui.loza/
⚙️ PRODUCE | / https://www.instagram.com/rominacano/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍ A MAÑANAS CACHONDAS Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/mananas_cachondas/
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728
X | https://x.com/CascoteTV",No,,"https://www.youtube.com/, https://www.instagram.com/mili.canda/, https://www.instagram.com/galgueando/, https://www.instagram.com/muzzarelas/, https://www.instagram.com/cuqui.loza/, https://www.instagram.com/rominacano/, https://www.instagram.com/agusgorez/, https://www.instagram.com/mananas_cachondas/, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728, https://x.com/CascoteTV",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,ad4tR7SSUfs,https://www.youtube.com/watch?v=ad4tR7SSUfs,#ElBunker - 7/7,2025-07-08T12:20:04Z,7409.0,15,1,0,"🎙️Búnker con el Pigu, la Gina y la Anita. Lunes de 19 a 21.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/ ⁨@elbunkermza⁩  

🎤 CONDUCE | / https://www.instagram.com/pigusanz/
🎤 CONDUCE | / https://www.instagram.com/gina.luco/
🎤 CONDUCE | / https://www.instagram.com/analuz_dl/
⚙️ PRODUCE | / https://www.instagram.com/gonza_osman/
⚙️ PRODUCE | / https://www.instagram.com/venusentauroo_/
⚙️ PRODUCE | / https://www.instagram.com/salamoneagustin/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍ AL BUNKER Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/elbunkermza/
TIKTOK | / https://www.tiktok.com/@elbunkermza
X | https://x.com/elbunkermza
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728",No,,"https://www.youtube.com/, https://www.instagram.com/pigusanz/, https://www.instagram.com/gina.luco/, https://www.instagram.com/analuz_dl/, https://www.instagram.com/gonza_osman/, https://www.instagram.com/venusentauroo_/, https://www.instagram.com/salamoneagustin/, https://www.instagram.com/agusgorez/, https://www.instagram.com/elbunkermza/, https://www.tiktok.com/@elbunkermza, https://x.com/elbunkermza, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,u0pSCB_iRQw,https://www.youtube.com/watch?v=u0pSCB_iRQw,#ElBunker - 14/7,2025-07-15T12:18:25Z,7387.0,34,2,0,"🎙️Búnker con el Pigu, la Gina y la Anita. Lunes de 19 a 21.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/ ⁨@elbunkermza⁩  

🎤 CONDUCE | / https://www.instagram.com/pigusanz/
🎤 CONDUCE | / https://www.instagram.com/gina.luco/
🎤 CONDUCE | / https://www.instagram.com/analuz_dl/
⚙️ PRODUCE | / https://www.instagram.com/gonza_osman/
⚙️ PRODUCE | / https://www.instagram.com/venusentauroo_/
⚙️ PRODUCE | / https://www.instagram.com/salamoneagustin/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍ AL BUNKER Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/elbunkermza/
TIKTOK | / https://www.tiktok.com/@elbunkermza
X | https://x.com/elbunkermza
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728",No,,"https://www.youtube.com/, https://www.instagram.com/pigusanz/, https://www.instagram.com/gina.luco/, https://www.instagram.com/analuz_dl/, https://www.instagram.com/gonza_osman/, https://www.instagram.com/venusentauroo_/, https://www.instagram.com/salamoneagustin/, https://www.instagram.com/agusgorez/, https://www.instagram.com/elbunkermza/, https://www.tiktok.com/@elbunkermza, https://x.com/elbunkermza, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,jYoXpswAfGs,https://www.youtube.com/watch?v=jYoXpswAfGs,#MañanasCachondas - 18/6,2025-06-19T08:41:30Z,6111.0,46,2,0,"🎙️ Mañanas cachondas con la Mili, la Barb y la Ana. Miércoles de 15:30 a 17:30.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/ ⁨@mananacachonda⁩  

🎤 CONDUCE | / https://www.instagram.com/mili.canda/
🎤 CONDUCE | / https://www.instagram.com/galgueando/
🎤 CONDUCE | / https://www.instagram.com/barbkuhne/
⚙️ PRODUCE | / https://www.instagram.com/cuqui.loza/
⚙️ PRODUCE | / https://www.instagram.com/rominacano/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍ A MAÑANAS CACHONDAS Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/mananas_cachondas/
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728
X | https://x.com/CascoteTV",No,,"https://www.youtube.com/, https://www.instagram.com/mili.canda/, https://www.instagram.com/galgueando/, https://www.instagram.com/barbkuhne/, https://www.instagram.com/cuqui.loza/, https://www.instagram.com/rominacano/, https://www.instagram.com/agusgorez/, https://www.instagram.com/mananas_cachondas/, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728, https://x.com/CascoteTV",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,9NyOjA1eZ8w,https://www.youtube.com/watch?v=9NyOjA1eZ8w,#MañanasCachondas - 16/7,2025-07-17T08:48:58Z,7457.0,11,3,0,"🎙️ Mañanas cachondas con la Romi, el Santi y la Ana. Miércoles de 15:30 a 17:30.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/@UCqr6Ylag14bq_EHLir0nFBw 

🎤 CONDUCE | / https://www.instagram.com/rominacano/
🎤 CONDUCE | / https://www.instagram.com/galgueando/
🎤 CONDUCE | / https://www.instagram.com/muzzarelas/
⚙️ PRODUCE | / https://www.instagram.com/cuqui.loza/
⚙️ PRODUCE | / https://www.instagram.com/mili.canda/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍ A MAÑANAS CACHONDAS Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/mananas_cachondas/
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728
X | https://x.com/CascoteTV",No,,"https://www.youtube.com/@UCqr6Ylag14bq_EHLir0nFBw, https://www.instagram.com/rominacano/, https://www.instagram.com/galgueando/, https://www.instagram.com/muzzarelas/, https://www.instagram.com/cuqui.loza/, https://www.instagram.com/mili.canda/, https://www.instagram.com/agusgorez/, https://www.instagram.com/mananas_cachondas/, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728, https://x.com/CascoteTV",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,0SDpHvGjGdc,https://www.youtube.com/watch?v=0SDpHvGjGdc,#ConversandoGiladas - Episodio 4: Refugio de un mundo en caos,2025-06-27T11:27:52Z,4615.0,91,15,0,"Conversamos giladas desde antes que estuviera de moda.
¿Quién nos pidió volver? Nadie. Pero acá estamos.
Charlas sin filtro. Opiniones dudosas. Conversando giladas, otra vez.

Conducen: @gera.ogb y @salamoneagustin
Opera: @agusgorez @cascotetv

#stream #podcast #mendoza #cascotetv",No,,,
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,LkZm82QWTSM,https://www.youtube.com/watch?v=LkZm82QWTSM,#MañanasCachondas - 02/7,2025-07-03T08:46:50Z,7271.0,64,1,0,"🎙️ Mañanas cachondas con la Romi, el Santi y la Ana. Miércoles de 15:30 a 17:30.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/@UCqr6Ylag14bq_EHLir0nFBw 

🎤 CONDUCE | / https://www.instagram.com/rominacano/
🎤 CONDUCE | / https://www.instagram.com/galgueando/
🎤 CONDUCE | / https://www.instagram.com/muzzarelas/
⚙️ PRODUCE | / https://www.instagram.com/cuqui.loza/
⚙️ PRODUCE | / https://www.instagram.com/mili.canda/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍ A MAÑANAS CACHONDAS Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/mananas_cachondas/
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728
X | https://x.com/CascoteTV",No,,"https://www.youtube.com/@UCqr6Ylag14bq_EHLir0nFBw, https://www.instagram.com/rominacano/, https://www.instagram.com/galgueando/, https://www.instagram.com/muzzarelas/, https://www.instagram.com/cuqui.loza/, https://www.instagram.com/mili.canda/, https://www.instagram.com/agusgorez/, https://www.instagram.com/mananas_cachondas/, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728, https://x.com/CascoteTV",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,07-2025,00ZSPl1Z6Xw,https://www.youtube.com/watch?v=00ZSPl1Z6Xw,#ConversandoGiladas - Episodio 3: VIVA LA PATRIA,2025-06-20T11:52:01Z,5590.0,121,16,0,"Conversamos giladas desde antes que estuviera de moda.
¿Quién nos pidió volver? Nadie. Pero acá estamos.
Charlas sin filtro. Opiniones dudosas. Conversando giladas, otra vez.

Conducen: @gera.ogb y @salamoneagustin
Opera: @agusgorez @cascotetv

#stream #podcast #mendoza #cascotetv",No,,,
